Lat,Lon,MAT,SpringT,SOS,ST
39.9256,116.0758,5.904334859,13.43703704,136.7605556,4.139127026
39.9436,116.0758,5.738743238,13.09814815,142.0122222,-5.803592268
39.9526,116.0758,4.108177278,11.4462963,121.8388889,-1.71927383
39.9616,116.0758,4.108177278,11.4462963,115.46,-2.58422642
39.9795,116.0758,5.841392704,13.26975309,125.1538462,-3.817850999
39.9885,116.0758,5.939020669,13.32962963,131.41,-4.306424958
39.9975,116.0758,6.032847829,13.25308642,124.7227778,-1.893446794
40.0604,116.0758,3.092772923,10.32098765,112.1605882,-3.388569499
40.0873,116.0758,4.615910667,11.82592593,115.1277778,-4.270938911
40.1322,116.0758,3.637571092,11.10617284,112.0805882,-3.528342784
40.1682,116.0758,6.192204189,13.36296296,143.5416667,-6.502650192
40.1951,116.0758,6.062484395,13.27407407,154.2338889,0.199245593
39.6382,116.0848,6.851865723,14.0037037,121.7916667,-1.53235182
39.6471,116.0848,6.791406575,13.95987654,129.7361111,-1.261879805
39.6561,116.0848,6.791406575,13.95987654,135.8738889,-1.261305428
39.6651,116.0848,6.779026217,13.98580247,131.6005556,0.683352203
39.6921,116.0848,6.787037037,13.87839506,128.3130769,-2.823578351
39.701,116.0848,6.756755445,13.92654321,143.0994444,-2.625669677
39.71,116.0848,6.728936052,13.99074074,147.7070588,-15.77845587
39.719,116.0848,6.743757803,14.02901235,135.1416667,-4.558724166
39.728,116.0848,6.756165904,14.00246914,145.6933333,-6.320481632
39.737,116.0848,6.693764739,13.90246914,138.29,-9.665461092
39.746,116.0848,6.677680677,13.77839506,143.375,-3.583073721
39.7549,116.0848,6.677680677,13.77839506,149.6544444,-7.019794809
39.7639,116.0848,6.700513247,13.83950617,132.0605556,-8.10647683
39.7729,116.0848,6.641288667,13.82901235,149.3872222,-11.31427241
39.7819,116.0848,6.580142877,13.77222222,145.2883333,-4.72350409
39.7909,116.0848,6.275703981,13.67777778,134.7627778,-1.12270372
39.7999,116.0848,6.228131502,13.64691358,125.1461111,-1.539264136
39.8088,116.0848,6.565896796,13.6,148.7955556,-3.564969832
39.8268,116.0848,6.593660702,13.62592593,163.1741176,-2.695239905
39.8358,116.0848,6.419454848,13.48395062,139.1505556,-7.239167966
39.8448,116.0848,6.028492163,13.15987654,131.4622222,-5.383817472
39.8538,116.0848,5.667776391,13.04382716,132.705,-4.080783166
39.8987,116.0848,5.137189624,12.68518519,135.7261111,-2.161819542
39.9077,116.0848,5.424982661,12.94259259,139.7983333,0.129259805
39.9166,116.0848,5.43429047,12.93950617,131.4011111,-5.232024063
39.9346,116.0848,6.14341795,13.62345679,152.3130769,3.541122295
39.9436,116.0848,6.189679567,13.65617284,148.7494444,-0.283835028
39.9526,116.0848,5.38916632,12.89259259,146.1966667,3.201868836
39.9616,116.0848,5.38916632,12.89259259,120.67,-2.768699969
39.9705,116.0848,5.741864336,13.09567901,135.0005556,-5.743745457
39.9795,116.0848,5.678977667,13.20061728,143.69,-7.822876937
39.9975,116.0848,6.024823138,13.34135802,146.3105556,-2.930941204
40.0065,116.0848,5.576883063,12.80987654,131.9622222,-4.655787471
40.0873,116.0848,5.725232348,13.04876543,115.1877778,-3.525029394
40.1502,116.0848,5.426321265,12.98950617,114.4761111,-1.306806671
40.1592,116.0848,5.426321265,12.98950617,144.0746154,-1.631877858
40.1951,116.0848,6.234200305,13.4037037,155.7977778,-0.083674885
40.2131,116.0848,6.177985851,13.38703704,155.3355556,-3.290602331
39.6112,116.0938,6.93348592,13.89938272,112.8630769,0.383719873
39.6292,116.0938,6.977354696,13.88209877,123.2288889,-2.473921853
39.6471,116.0938,6.747551672,13.93580247,136.9323077,-0.353902677
39.6561,116.0938,6.747551672,13.93580247,142.0922222,9.950565286
39.6651,116.0938,6.669711472,13.92222222,133.8869231,5.310192757
39.6831,116.0938,6.799341101,13.96296296,152.2038889,-4.181335518
39.71,116.0938,6.728936052,13.99074074,145.9144444,-5.86649046
39.719,116.0938,6.723997781,14.03580247,145.5627778,-7.849822973
39.728,116.0938,6.717214593,13.99753086,152.3538889,-3.059726266
39.737,116.0938,6.688174504,13.92654321,148.8627778,-5.032499665
39.746,116.0938,6.678284089,13.78148148,130.2633333,-5.841009627
39.7549,116.0938,6.678284089,13.78148148,129.68,-4.448948771
39.7729,116.0938,6.665328062,13.82469136,145.6255556,-6.655868978
39.7819,116.0938,6.622756277,13.77592593,145.7982353,-5.115256012
39.7909,116.0938,6.441788043,13.70987654,136.6527778,-2.327009747
39.7999,116.0938,6.42327646,13.66975309,127.6166667,-2.188365455
39.8268,116.0938,6.495457068,13.51728395,132.9205556,-3.87389036
39.8358,116.0938,6.396622278,13.49259259,133.6038889,-8.180495205
39.8448,116.0938,6.164960466,13.34259259,136.8572222,-5.267945428
39.8538,116.0938,5.667776391,13.04382716,133.89,0.230814969
39.8717,116.0938,5.257046747,12.74259259,121.6911765,-2.356728063
39.8897,116.0938,5.998182827,13.53148148,147.1294444,2.528166692
39.8987,116.0938,5.574462477,13.06604938,129.1011111,-3.374127177
39.9077,116.0938,5.930905812,13.42716049,153.34,-0.245326277
39.9166,116.0938,5.698057983,13.18703704,131.3835294,-4.527998956
39.9256,116.0938,6.150839229,13.68641975,135.8188235,5.850734154
39.9436,116.0938,6.280496601,13.79259259,150.5130769,3.936827294
39.9526,116.0938,5.995138022,13.48641975,147.7538889,-0.047244723
39.9705,116.0938,5.683853516,12.93518519,135.6372222,-3.745601256
39.9795,116.0938,5.009342489,12.50740741,124.4673333,-4.214606372
39.9885,116.0938,5.641226245,13.16111111,119.5588235,-0.538121434
39.9975,116.0938,5.59364683,13.04259259,129.4494444,-3.969936362
40.0065,116.0938,6.035906506,13.24876543,133.0916667,-2.266887238
40.2131,116.0938,6.257081426,13.47222222,151.2377778,1.054352866
40.2221,116.0938,6.324406991,13.46481481,163.5211111,-1.412693862
39.6112,116.1028,6.902600916,13.88703704,121.3046154,-4.149837831
39.6471,116.1028,6.756797059,13.91296296,147.6984615,4.82573364
39.6651,116.1028,6.607962269,13.88395062,134.9961111,-2.682220072
39.6741,116.1028,6.733312526,13.98333333,140.8244444,-1.368702243
39.6921,116.1028,6.791919822,13.93580247,137.0794444,-3.764874889
39.701,116.1028,6.778367319,13.97716049,127.1044444,-1.628546083
39.71,116.1028,6.696199195,13.98395062,130.7586667,-6.355467802
39.719,116.1028,6.64986822,14.03148148,134.3288889,-3.504998836
39.737,116.1028,6.704827299,13.95185185,148.0672222,-7.021705537
39.746,116.1028,6.675808018,13.81975309,123.6994444,-5.423581325
39.7549,116.1028,6.675808018,13.81975309,120.7977778,-1.867061997
39.7639,116.1028,6.702961576,13.8117284,139.8005556,-4.814854798
39.7729,116.1028,6.678908309,13.82407407,147.5005556,-2.775670917
39.7819,116.1028,6.633243168,13.78395062,147.5627778,-4.426436728
39.7909,116.1028,6.549257872,13.71358025,139.175,-5.597188217
39.7999,116.1028,6.394284922,13.6117284,139.8177778,-7.991574111
